step,baseline__seed0,baseline__seed1,baseline__seed2,epsilon_only__seed0,epsilon_only__seed1,epsilon_only__seed2,eligibility_only__seed0,eligibility_only__seed1,eligibility_only__seed2,no_gaussian__seed0,no_gaussian__seed1,no_gaussian__seed2,gaussian_only__seed0,gaussian_only__seed1,gaussian_only__seed2,no_eligibility__seed0,no_eligibility__seed1,no_eligibility__seed2,gaussian_eligibility__seed0,gaussian_eligibility__seed1,gaussian_eligibility__seed2,full_gta__seed0,full_gta__seed1,full_gta__seed2
86,10.0,10.0,98.0,21.0,23.0,17.0,10.0,10.0,9.0,15.0,21.0,14.0,10.0,10.0,108.0,17.0,26.0,13.0,10.0,10.0,112.0,279.0,30.0,21.0
87,10.0,11.0,101.0,12.0,14.0,15.0,10.0,11.0,9.0,25.0,19.0,16.0,10.0,11.0,116.0,20.0,17.0,14.0,10.0,11.0,111.0,500.0,25.0,23.0
88,9.0,9.0,99.0,17.0,17.0,15.0,9.0,9.0,9.0,14.0,15.0,17.0,9.0,9.0,116.0,14.0,15.0,16.0,9.0,9.0,114.0,229.0,29.0,20.0
89,9.0,9.0,97.0,19.0,19.0,19.0,9.0,9.0,9.0,16.0,18.0,15.0,9.0,9.0,110.0,16.0,19.0,20.0,9.0,9.0,110.0,178.0,26.0,21.0
90,9.0,9.0,103.0,15.0,14.0,21.0,9.0,9.0,10.0,19.0,13.0,20.0,9.0,9.0,116.0,21.0,54.0,15.0,9.0,9.0,113.0,352.0,19.0,24.0
91,9.0,10.0,102.0,15.0,21.0,22.0,9.0,10.0,10.0,14.0,23.0,15.0,9.0,10.0,110.0,15.0,63.0,15.0,9.0,10.0,116.0,500.0,30.0,19.0
92,10.0,10.0,99.0,21.0,19.0,16.0,10.0,10.0,9.0,23.0,18.0,15.0,10.0,10.0,72.0,15.0,61.0,23.0,10.0,10.0,112.0,361.0,39.0,12.0
93,10.0,10.0,105.0,15.0,15.0,21.0,10.0,10.0,10.0,26.0,15.0,23.0,10.0,10.0,66.0,13.0,15.0,22.0,10.0,10.0,114.0,301.0,21.0,27.0
94,9.0,12.0,103.0,20.0,19.0,16.0,9.0,12.0,11.0,31.0,27.0,19.0,9.0,12.0,74.0,15.0,63.0,14.0,9.0,12.0,83.0,500.0,26.0,17.0
95,10.0,9.0,102.0,13.0,15.0,17.0,10.0,9.0,10.0,40.0,17.0,15.0,10.0,9.0,109.0,14.0,17.0,15.0,10.0,9.0,111.0,497.0,26.0,13.0
96,11.0,9.0,107.0,25.0,15.0,19.0,11.0,9.0,10.0,36.0,15.0,28.0,11.0,9.0,78.0,17.0,61.0,14.0,11.0,9.0,118.0,500.0,80.0,18.0
