step,baseline__seed0,baseline__seed1,baseline__seed2,gaussian_only__seed0,gaussian_only__seed1,gaussian_only__seed2,gaussian_eligibility__seed0,gaussian_eligibility__seed1,gaussian_eligibility__seed2,full_gta__seed0,full_gta__seed1,full_gta__seed2
153,28.0,24.0,105.0,10.0,19.0,119.0,17.0,17.0,122.0,500.0,64.0,27.0
154,21.0,19.0,110.0,24.0,17.0,98.0,22.0,21.0,137.0,500.0,295.0,35.0
155,17.0,24.0,109.0,13.0,18.0,119.0,23.0,15.0,125.0,500.0,348.0,29.0
156,24.0,18.0,106.0,15.0,18.0,116.0,19.0,22.0,120.0,408.0,246.0,21.0
157,23.0,13.0,115.0,17.0,23.0,121.0,18.0,32.0,120.0,500.0,228.0,29.0
158,16.0,21.0,113.0,15.0,22.0,122.0,14.0,25.0,122.0,455.0,232.0,50.0
159,21.0,17.0,116.0,15.0,17.0,115.0,18.0,23.0,124.0,388.0,235.0,42.0
160,17.0,20.0,17.0,17.0,21.0,95.0,17.0,18.0,119.0,500.0,259.0,162.0
161,22.0,14.0,116.0,17.0,13.0,122.0,19.0,21.0,122.0,417.0,227.0,38.0
162,13.0,13.0,119.0,13.0,15.0,125.0,21.0,19.0,126.0,500.0,230.0,331.0
163,15.0,21.0,104.0,13.0,20.0,119.0,21.0,19.0,118.0,500.0,284.0,108.0
164,17.0,13.0,114.0,15.0,13.0,126.0,19.0,17.0,124.0,500.0,253.0,215.0
165,13.0,13.0,114.0,13.0,13.0,125.0,19.0,17.0,125.0,500.0,293.0,44.0
166,17.0,15.0,112.0,17.0,19.0,125.0,23.0,21.0,124.0,500.0,270.0,43.0
167,18.0,14.0,115.0,16.0,13.0,123.0,23.0,20.0,121.0,500.0,228.0,253.0
168,13.0,17.0,105.0,11.0,15.0,117.0,18.0,25.0,122.0,500.0,219.0,189.0
169,15.0,11.0,16.0,15.0,11.0,122.0,19.0,13.0,121.0,474.0,209.0,206.0
170,11.0,15.0,117.0,11.0,15.0,122.0,18.0,25.0,121.0,396.0,242.0,36.0
171,16.0,15.0,123.0,12.0,18.0,127.0,25.0,23.0,130.0,500.0,216.0,133.0
172,14.0,19.0,108.0,19.0,19.0,118.0,15.0,27.0,121.0,500.0,269.0,191.0
173,20.0,13.0,123.0,15.0,12.0,132.0,17.0,17.0,134.0,500.0,243.0,203.0
174,12.0,22.0,111.0,13.0,20.0,122.0,13.0,23.0,124.0,500.0,319.0,15.0
