seed,episode,agent,return
0,360,Improved FQL-GTA,481.0
0,361,Baseline FQL,208.0
0,361,Improved FQL-GTA,500.0
0,362,Baseline FQL,275.0
0,362,Improved FQL-GTA,221.0
0,363,Baseline FQL,363.0
0,363,Improved FQL-GTA,213.0
0,364,Baseline FQL,231.0
0,364,Improved FQL-GTA,401.0
0,365,Baseline FQL,347.0
0,365,Improved FQL-GTA,424.0
0,366,Baseline FQL,230.0
0,366,Improved FQL-GTA,444.0
0,367,Baseline FQL,255.0
0,367,Improved FQL-GTA,500.0
0,368,Baseline FQL,222.0
0,368,Improved FQL-GTA,418.0
0,369,Baseline FQL,239.0
0,369,Improved FQL-GTA,500.0
0,370,Baseline FQL,298.0
0,370,Improved FQL-GTA,500.0
0,371,Baseline FQL,223.0
0,371,Improved FQL-GTA,500.0
0,372,Baseline FQL,241.0
0,372,Improved FQL-GTA,457.0
0,373,Baseline FQL,338.0
0,373,Improved FQL-GTA,500.0
0,374,Baseline FQL,233.0
0,374,Improved FQL-GTA,402.0
0,375,Baseline FQL,234.0
0,375,Improved FQL-GTA,500.0
0,376,Baseline FQL,291.0
0,376,Improved FQL-GTA,400.0
0,377,Baseline FQL,357.0
0,377,Improved FQL-GTA,368.0
0,378,Baseline FQL,379.0
0,378,Improved FQL-GTA,363.0
0,379,Baseline FQL,35.0
0,379,Improved FQL-GTA,351.0
0,380,Baseline FQL,42.0
0,380,Improved FQL-GTA,500.0
0,381,Baseline FQL,302.0
0,381,Improved FQL-GTA,500.0
0,382,Baseline FQL,234.0
0,382,Improved FQL-GTA,500.0
0,383,Baseline FQL,225.0
0,383,Improved FQL-GTA,500.0
0,384,Baseline FQL,206.0
0,384,Improved FQL-GTA,500.0
0,385,Baseline FQL,219.0
0,385,Improved FQL-GTA,500.0
0,386,Baseline FQL,288.0
0,386,Improved FQL-GTA,500.0
0,387,Baseline FQL,271.0
0,387,Improved FQL-GTA,500.0
0,388,Baseline FQL,243.0
0,388,Improved FQL-GTA,500.0
0,389,Baseline FQL,250.0
0,389,Improved FQL-GTA,500.0
0,390,Baseline FQL,265.0
0,390,Improved FQL-GTA,500.0
0,391,Baseline FQL,220.0
0,391,Improved FQL-GTA,500.0
0,392,Baseline FQL,217.0
0,392,Improved FQL-GTA,500.0
0,393,Baseline FQL,245.0
0,393,Improved FQL-GTA,500.0
0,394,Baseline FQL,246.0
0,394,Improved FQL-GTA,500.0
0,395,Baseline FQL,291.0
0,395,Improved FQL-GTA,500.0
0,396,Baseline FQL,230.0
0,396,Improved FQL-GTA,500.0
0,397,Baseline FQL,295.0
0,397,Improved FQL-GTA,500.0
0,398,Baseline FQL,239.0
0,398,Improved FQL-GTA,500.0
